frame_indexes,detected_coordinates,frog_id_kmm,frog_id_gmm,frog_id_dbscan
347,"(109.0, 422.0)",0,3,0
348,"(419.0, 360.0)",1,4,0
349,"(438.0, 360.0)",1,4,0
350,"(419.0, 360.0)",1,4,0
351,"(254.0, 371.0)",0,0,0
351,"(418.0, 360.0)",1,4,0
352,"(253.0, 360.0)",0,0,0
353,"(233.0, 380.0)",0,0,0
354,"(130.0, 381.0)",0,3,0
355,"(110.0, 401.0)",0,3,0
356,"(109.0, 401.0)",0,3,0
357,"(90.0, 401.0)",0,3,0
358,"(90.0, 401.0)",0,3,0
359,"(129.0, 383.0)",0,3,0
359,"(397.0, 360.0)",1,4,0
360,"(1242.0, 402.0)",6,1,-1
360,"(272.0, 360.0)",0,0,0
361,"(253.0, 379.0)",0,0,0
362,"(234.0, 380.0)",0,0,0
363,"(254.0, 375.0)",0,0,0
364,"(500.0, 361.0)",1,4,0
365,"(500.0, 361.0)",1,4,0
366,"(480.0, 360.0)",1,4,0
367,"(461.0, 360.0)",1,4,0
368,"(461.0, 360.0)",1,4,0
369,"(437.0, 361.0)",1,4,0
370,"(108.0, 402.0)",0,3,0
371,"(91.0, 421.0)",0,3,0
372,"(108.0, 421.0)",0,3,0
373,"(109.0, 421.0)",0,3,0
374,"(104.0, 421.0)",0,3,0
375,"(109.0, 422.0)",0,3,0
376,"(129.0, 402.0)",0,3,0
377,"(151.0, 382.0)",0,3,0
378,"(193.0, 380.0)",0,0,0
379,"(232.0, 380.0)",0,0,0
380,"(214.0, 380.0)",0,0,0
381,"(232.0, 380.0)",0,0,0
382,"(1267.0, 421.0)",6,1,4
383,"(481.0, 360.0)",1,4,0
384,"(481.0, 360.0)",1,4,0
385,"(480.0, 360.0)",1,4,0
386,"(480.0, 361.0)",1,4,0
387,"(728.0, 505.0)",2,6,1
388,"(744.0, 524.0)",2,6,1
389,"(728.0, 504.0)",2,6,1
390,"(130.0, 381.0)",0,3,0
391,"(336.0, 360.0)",1,4,0
391,"(130.0, 381.0)",0,3,0
392,"(336.0, 360.0)",1,4,0
393,"(275.0, 361.0)",0,0,0
394,"(283.0, 369.0)",0,0,0
395,"(235.0, 379.0)",0,0,0
396,"(213.0, 380.0)",0,0,0
397,"(170.0, 401.0)",0,3,0
398,"(131.0, 402.0)",0,3,0
399,"(127.0, 421.0)",0,3,0
400,"(109.0, 422.0)",0,3,0
401,"(101.0, 422.0)",0,3,0
402,"(92.0, 422.0)",0,3,0
403,"(89.0, 421.0)",0,3,0
404,"(71.0, 421.0)",0,3,0
405,"(737.0, 525.0)",2,6,1
406,"(747.0, 524.0)",2,6,1
407,"(460.0, 361.0)",1,4,0
408,"(461.0, 361.0)",1,4,0
409,"(461.0, 361.0)",1,4,0
410,"(480.0, 362.0)",1,4,0
411,"(235.0, 379.0)",0,0,0
412,"(234.0, 380.0)",0,0,0
413,"(234.0, 380.0)",0,0,0
414,"(254.0, 380.0)",0,0,0
415,"(254.0, 379.0)",0,0,0
416,"(503.0, 361.0)",1,4,0
417,"(521.0, 360.0)",1,4,0
418,"(130.0, 400.0)",0,3,0
419,"(130.0, 400.0)",0,3,0
420,"(130.0, 399.0)",0,3,0
421,"(130.0, 401.0)",0,3,0
422,"(110.0, 401.0)",0,3,0
423,"(461.0, 360.0)",1,4,0
424,"(69.0, 422.0)",0,3,0
425,"(460.0, 361.0)",1,4,0
426,"(129.0, 422.0)",0,3,0
426,"(460.0, 360.0)",1,4,0
427,"(1176.0, 402.0)",4,1,-1
428,"(1158.0, 402.0)",4,1,3
429,"(171.0, 402.0)",0,3,0
430,"(1015.0, 400.0)",4,1,3
431,"(521.0, 360.0)",1,4,0
432,"(731.0, 505.0)",2,6,1
432,"(501.0, 360.0)",1,4,0
433,"(729.0, 505.0)",2,6,1
434,"(728.0, 505.0)",2,6,1
435,"(748.0, 524.0)",2,6,1
436,"(731.0, 507.0)",2,6,1
437,"(192.0, 380.0)",0,0,0
438,"(110.0, 381.0)",0,3,0
439,"(109.0, 401.0)",0,3,0
440,"(975.0, 565.0)",5,5,-1
441,"(993.0, 562.0)",5,5,-1
442,"(460.0, 360.0)",1,4,0
443,"(461.0, 361.0)",1,4,0
444,"(460.0, 360.0)",1,4,0
445,"(460.0, 360.0)",1,4,0
446,"(477.0, 361.0)",1,4,0
447,"(1119.0, 402.0)",4,1,3
448,"(1078.0, 402.0)",4,1,3
449,"(233.0, 380.0)",0,0,0
450,"(151.0, 399.0)",0,3,0
451,"(150.0, 382.0)",0,3,0
452,"(522.0, 361.0)",1,4,0
453,"(520.0, 360.0)",1,4,0
454,"(1057.0, 402.0)",4,1,3
455,"(1076.0, 402.0)",4,1,3
456,"(1057.0, 401.0)",4,1,3
457,"(1074.0, 401.0)",4,1,3
458,"(296.0, 379.0)",1,0,0
459,"(314.0, 380.0)",1,0,0
460,"(315.0, 374.0)",1,0,0
461,"(460.0, 361.0)",1,4,0
462,"(479.0, 360.0)",1,4,0
463,"(461.0, 360.0)",1,4,0
464,"(464.0, 360.0)",1,4,0
465,"(460.0, 360.0)",1,4,0
466,"(1098.0, 421.0)",4,1,3
467,"(1119.0, 402.0)",4,1,3
468,"(1119.0, 402.0)",4,1,3
469,"(1118.0, 401.0)",4,1,3
470,"(88.0, 401.0)",0,3,0
471,"(1037.0, 401.0)",4,1,3
