frame_indexes,detected_coordinates,frog_id_kmm,frog_id_gmm,frog_id_dbscan
262,"(501.0, 360.0)",1,3,1
263,"(501.0, 360.0)",1,3,1
264,"(974.0, 379.0)",4,1,2
265,"(974.0, 380.0)",4,1,2
266,"(975.0, 379.0)",4,1,2
267,"(975.0, 379.0)",4,1,2
268,"(522.0, 360.0)",1,3,1
269,"(209.0, 381.0)",0,0,0
270,"(186.0, 401.0)",0,0,0
271,"(150.0, 421.0)",0,0,0
272,"(110.0, 442.0)",0,4,0
273,"(108.0, 443.0)",0,4,0
274,"(90.0, 443.0)",0,4,0
275,"(90.0, 444.0)",0,4,0
276,"(107.0, 443.0)",0,4,0
277,"(479.0, 360.0)",1,3,1
278,"(460.0, 361.0)",1,3,1
279,"(460.0, 360.0)",1,3,1
280,"(171.0, 417.0)",0,0,0
281,"(213.0, 442.0)",0,0,0
282,"(213.0, 442.0)",0,0,0
283,"(480.0, 361.0)",1,3,1
284,"(975.0, 380.0)",4,1,2
285,"(975.0, 380.0)",4,1,2
286,"(995.0, 381.0)",4,1,2
287,"(975.0, 380.0)",4,1,2
288,"(169.0, 401.0)",0,0,0
289,"(171.0, 402.0)",0,0,0
290,"(109.0, 422.0)",0,4,0
291,"(88.0, 442.0)",0,4,0
292,"(68.0, 442.0)",0,4,0
293,"(88.0, 442.0)",0,4,0
294,"(480.0, 361.0)",1,3,1
295,"(460.0, 379.0)",1,3,1
296,"(440.0, 380.0)",1,3,1
297,"(718.0, 345.0)",3,1,-1
298,"(728.0, 359.0)",3,1,3
299,"(728.0, 359.0)",3,1,3
300,"(89.0, 423.0)",0,4,0
301,"(90.0, 422.0)",0,4,0
302,"(91.0, 423.0)",0,4,0
303,"(108.0, 442.0)",0,4,0
304,"(89.0, 422.0)",0,4,0
305,"(90.0, 423.0)",0,4,0
306,"(128.0, 422.0)",0,4,0
307,"(151.0, 421.0)",0,0,0
308,"(103.0, 423.0)",0,4,0
309,"(106.0, 422.0)",0,4,0
309,"(478.0, 360.0)",1,3,1
310,"(451.0, 380.0)",1,3,1
311,"(440.0, 380.0)",1,3,1
312,"(458.0, 360.0)",1,3,1
313,"(459.0, 360.0)",1,3,1
314,"(459.0, 360.0)",1,3,1
315,"(460.0, 360.0)",1,3,1
316,"(130.0, 444.0)",0,4,0
317,"(767.0, 360.0)",3,1,3
318,"(768.0, 360.0)",3,1,3
319,"(768.0, 359.0)",3,1,3
320,"(768.0, 360.0)",3,1,3
321,"(501.0, 361.0)",1,3,1
322,"(501.0, 360.0)",1,3,1
323,"(88.0, 436.0)",0,4,0
324,"(90.0, 442.0)",0,4,0
325,"(89.0, 441.0)",0,4,0
326,"(89.0, 441.0)",0,4,0
327,"(170.0, 402.0)",0,0,0
328,"(192.0, 381.0)",0,0,0
329,"(480.0, 441.0)",1,0,-1
330,"(456.0, 381.0)",1,3,1
331,"(460.0, 379.0)",1,3,1
332,"(460.0, 361.0)",1,3,1
333,"(500.0, 379.0)",1,3,1
334,"(502.0, 361.0)",1,3,1
335,"(503.0, 360.0)",1,3,1
336,"(502.0, 360.0)",1,3,1
337,"(500.0, 360.0)",1,3,1
337,"(994.0, 380.0)",4,1,2
338,"(481.0, 360.0)",1,3,1
338,"(1005.0, 380.0)",4,1,2
339,"(131.0, 440.0)",0,4,0
339,"(768.0, 360.0)",3,1,3
340,"(128.0, 422.0)",0,4,0
341,"(111.0, 421.0)",0,4,0
342,"(170.0, 403.0)",0,0,0
343,"(131.0, 421.0)",0,4,0
344,"(109.0, 423.0)",0,4,0
345,"(89.0, 442.0)",0,4,0
346,"(90.0, 443.0)",0,4,0
347,"(440.0, 379.0)",1,3,1
348,"(440.0, 379.0)",1,3,1
349,"(481.0, 377.0)",1,3,1
350,"(479.0, 360.0)",1,3,1
351,"(501.0, 360.0)",1,3,1
352,"(501.0, 360.0)",1,3,1
353,"(481.0, 360.0)",1,3,1
354,"(481.0, 361.0)",1,3,1
355,"(480.0, 360.0)",1,3,1
356,"(461.0, 361.0)",1,3,1
356,"(997.0, 381.0)",4,1,2
357,"(995.0, 379.0)",4,1,2
358,"(110.0, 423.0)",0,4,0
359,"(150.0, 420.0)",0,0,0
